year,ISO,LiNo,latitude,longitude,Breteau_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,date,
2008,11,43,22.6405028,120.3042684,2,0,2,1.5625,24,2008/3/10,2008/3/16
2008,52,43,22.6405028,120.3042684,2,0,2,1.666666667,10,2008/12/22,2008/12/28
2009,2,43,22.6405028,120.3042684,2,0,2,1.666666667,22,2009/1/5,2009/1/11
2009,7,43,22.6405028,120.3042684,2,0,2,1.694915254,6,2009/2/9,2009/2/15
2011,23,43,22.6405028,120.3042684,2,0,2,3.225806452,10,2011/5/30,2011/6/5
2011,24,43,22.6405028,120.3042684,2,0,2,2.5,6,2011/6/6,2011/6/12
2005,30,44,22.6430364,120.3049893,2,0,2,1.886792453,6,2005/7/18,2005/7/24
2005,32,44,22.6430364,120.3049893,2,0.02,2,1.351351351,52,2005/8/1,2005/8/7
2007,2,44,22.6430364,120.3049893,2,0,2,1.282051282,6,2007/1/8,2007/1/14
2007,35,44,22.6430364,120.3049893,2,0,2,1.612903226,42,2007/8/27,2007/9/2
2008,11,44,22.6430364,120.3049893,2,0.02,2,2.380952381,72,2008/3/10,2008/3/16
2009,14,44,22.6430364,120.3049893,2,0.02,2,1.470588235,6,2009/3/30,2009/4/5
2010,50,44,22.6430364,120.3049893,2,0,2,1.960784314,8,2010/12/6,2010/12/12
2011,13,44,22.6430364,120.3049893,2,0,2,3.448275862,10,2011/3/21,2011/3/27
2012,19,44,22.6430364,120.3049893,2,0,2,3.846153846,14,2012/4/30,2012/5/6
2005,26,45,22.6691445,120.3197665,2,0,2,1.587301587,24,2005/6/20,2005/6/26
2007,10,45,22.6691445,120.3197665,2,0,2,2.631578947,6,2007/3/5,2007/3/11
2007,12,45,22.6691445,120.3197665,2,0,2,2.127659574,34,2007/3/19,2007/3/25
2007,15,45,22.6691445,120.3197665,2,0,2,2.325581395,64,2007/4/9,2007/4/15
2008,11,45,22.6691445,120.3197665,2,0,2,2.43902439,6,2008/3/10,2008/3/16
2008,14,45,22.6691445,120.3197665,2,0,2,1.492537313,4,2008/3/31,2008/4/6
2008,46,45,22.6691445,120.3197665,2,0,2,1.851851852,6,2008/11/10,2008/11/16
2008,5,45,22.6691445,120.3197665,2,0,2,2.127659574,14,2008/1/28,2008/2/3
2009,4,45,22.6691445,120.3197665,2,0,2,2.083333333,14,2009/1/19,2009/1/25
2011,12,45,22.6691445,120.3197665,2,0,2,4.761904762,24,2011/3/14,2011/3/20
2005,13,46,22.6638891,120.3208477,2,0,2,1.492537313,20,2005/3/21,2005/3/27
2007,16,46,22.6638891,120.3208477,2,0,2,1.282051282,6,2007/4/16,2007/4/22
2007,17,46,22.6638891,120.3208477,2,0,2,1.25,10,2007/4/23,2007/4/29
2008,12,46,22.6638891,120.3208477,2,0,2,2.941176471,22,2008/3/17,2008/3/23
2008,5,46,22.6638891,120.3208477,2,0,2,1.923076923,22,2008/1/28,2008/2/3
2009,18,46,22.6638891,120.3208477,2,0,2,1.724137931,14,2009/4/27,2009/5/3
2009,2,46,22.6638891,120.3208477,2,0,2,1.333333333,8,2009/1/5,2009/1/11
2009,6,46,22.6638891,120.3208477,2,0,2,1.851851852,8,2009/2/2,2009/2/8
2011,13,46,22.6638891,120.3208477,2,0,2,3.571428571,10,2011/3/21,2011/3/27
2011,22,46,22.6638891,120.3208477,2,0,2,1.960784314,20,2011/5/23,2011/5/29
2011,24,46,22.6638891,120.3208477,2,0,2,2.43902439,10,2011/6/6,2011/6/12
2011,41,46,22.6638891,120.3208477,2,0,2,2.222222222,22,2011/10/3,2011/10/9
2012,1,46,22.6638891,120.3208477,2,0,2,5.263157895,6,2012/1/1,2012/1/1
2012,12,46,22.6638891,120.3208477,2,0,2,3.225806452,30,2012/3/12,2012/3/18
2012,16,46,22.6638891,120.3208477,2,0,2,7.692307692,0,2012/4/9,2012/4/15
2007,51,47,22.6625794,120.3255327,2,0,2,1.923076923,12,2007/12/17,2007/12/23
2008,11,47,22.6625794,120.3255327,2,0.04,2,2.564102564,10,2008/3/10,2008/3/16
2011,12,47,22.6625794,120.3255327,2,0,2,5,22,2011/3/14,2011/3/20
2011,14,47,22.6625794,120.3255327,2,0.02,2,4,12,2011/3/28,2011/4/3
2011,16,47,22.6625794,120.3255327,2,0,2,4.166666667,16,2011/4/11,2011/4/17
2011,33,47,22.6625794,120.3255327,2,0,2,2.5,18,2011/8/8,2011/8/14
2011,4,47,22.6625794,120.3255327,2,0.01,2,4.545454545,35,2011/1/17,2011/1/23
2012,1,47,22.6625794,120.3255327,2,0.16,2,2.222222222,50,2012/1/1,2012/1/1
2012,17,47,22.6625794,120.3255327,2,0,2,7.547169811,0,2012/4/16,2012/4/22
2012,3,47,22.6625794,120.3255327,2,0,2,2.631578947,0,2012/1/9,2012/1/15
2007,11,48,22.6665247,120.3291365,2,0,2,2.173913043,22,2007/3/12,2007/3/18
2007,51,48,22.6665247,120.3291365,2,0,2,1.886792453,10,2007/12/17,2007/12/23
2008,14,48,22.6665247,120.3291365,2,0,2,1.587301587,22,2008/3/31,2008/4/6
